,KHOLODKOVSKIY_FAUST_GOETHE,KHOLODKOVSKIY_FAUST2_GOETHE,PASTERNAK_FAUST_GOETHE,PASTERNAK_FAUST2_GOETHE
NUMRinanИaccs,1.161895003862225,-0.3872983346207417,0.3872983346207417,-1.161895003862225
NOUNИanimИfemnИMsfplurИgent,-0.338240712601273,-0.7892283294029703,1.4657097546055162,-0.338240712601273
ADJFИQualinanИplurИaccs,-0.16081688022566923,-0.8040844011283462,-0.4824506406770077,1.4473519220310231
NUMRfemnИnomn,-0.12909944487358055,-0.9036961141150639,1.420093893609386,-0.3872983346207417
NPROИAnphsingИabltИVoy,-0.6301260378126045,1.4702940882294102,-0.21004201260420147,-0.6301260378126045
ADJFИApromascИsingИgent,-0.8029550685469661,-0.8029550685469661,1.2617865362880896,0.3441236008058426
PRTFИimpfИintrИpresИactvplurИnomn,-0.7027819284987273,-0.3904344047215152,-0.3904344047215152,1.4836507379417576
ADJFИAproИSubxplurИnomn,0.43915503282683993,-1.3174650984805198,1.02469507659596,-0.14638501094227999
NPROИmascsingИablt,-0.6603381797442178,-0.6603381797442178,1.4527439954372794,-0.13206763594884358
NUMRmascИgent,-0.8333333333333334,-0.8333333333333334,0.5,1.1666666666666667
NOUNИanimИmascsingИvoct,1.390758974918296,-0.1986798535597566,-0.1986798535597566,-0.9933992677987828
NOUNИanimИGNdrИMsfИPltmИSurnplurИnomn,-0.900998198005406,-0.26499947000159,-0.26499947000159,1.430997138008586
NOUNИinanИGNdrИPltmplurИloct,-0.954919108405064,-0.36727658015579384,1.3956510045920165,-0.07345531603115876
NOUNИanimИmascИSgtmИSurnsingИablt,-0.8333333333333334,0.5,1.1666666666666667,-0.8333333333333334
ADJSИApromascИsing,1.5,-0.5,-0.5,-0.5
ADJFplurИablt,0.0,-1.224744871391589,0.0,1.224744871391589
PRTFИperfИtranИpastИpssvИAdjxmascИsingИnomn,0.0,-1.3587324409735149,0.3396831102433787,1.0190493307301363
PRTFИperfИtranИpastИpssvfemnИsingИnomn,-1.4770978917519928,0.3692744729379982,0.3692744729379982,0.7385489458759964
COMPИQualDist,0.9486832980505138,-1.2649110640673518,0.6324555320336759,-0.31622776601683794
ADJFИSubxИQualmascИsingИgent,-0.3872983346207417,-1.161895003862225,0.3872983346207417,1.161895003862225
ADJFИSuprИQualneutИsingИnomn,-1.161895003862225,-0.3872983346207417,0.3872983346207417,1.161895003862225
ADJFИSubxИQualplurИnomn,-0.338240712601273,1.014722137803819,-1.2402159462046676,0.5637345210021216
PRTFИperfИintrИpastИactvplurИnomn,-0.8488746876271654,-0.8488746876271654,0.6063390625908325,1.0914103126634984
ADJFИAprofemnИsingИdatv,-0.43915503282683993,-1.02469507659596,0.14638501094227999,1.3174650984805198
NOUNИanimИneutsingИgent,-0.998625428903524,-0.6354889093022426,1.1801936887041646,0.4539206495016018
ADJFИPossmascИsingИnomn,-1.390758974918296,0.1986798535597566,0.9933992677987828,0.1986798535597566
ADJFplurИdatv,-0.26111648393354675,-0.6092717958449424,-0.6092717958449424,1.4796600756234317
NOUNИinanИfemnИSgtmИGeoxsingИablt,-0.7120275558034701,-0.970946667004732,1.1004062226053628,0.5825680002028392
ADJFИSubxmascИsingИnomn,-0.946753116400804,-0.6762522260005742,1.2172540068010336,0.40575133560034454
ADJFИAprofemnИsingИabltИVoy,-1.3055824196677337,-0.26111648393354675,0.7833494518006403,0.7833494518006403
NOUNИanimИmascИNamesingИablt,0.2401922307076307,-1.2009611535381535,-0.2401922307076307,1.2009611535381535
NOUNИanimИmascИSgtmИFixdИNamesingИnomn,-1.0502100630210074,-0.6301260378126045,0.6301260378126045,1.0502100630210074
NOUNИanimИfemnИNamesingИdatv,-1.3055824196677337,0.7833494518006403,0.7833494518006403,-0.26111648393354675
PRTFИperfИintrИpastИactvplurИgent,-1.0151294522759395,-0.7027819284987273,0.8589556903873333,0.8589556903873333
ADJFИAproИSubxplurИdatv,-0.7027819284987273,-0.3904344047215152,1.4836507379417576,-0.3904344047215152
NOUNИanimИneutsingИnomn,-1.3754239509242667,0.7406128966515283,-0.10580184237878976,0.7406128966515283
NOUNИinanИneutplurИloctИVbe,-0.6603381797442178,-0.13206763594884358,1.4527439954372794,-0.6603381797442178
PRTFИperfИtranИpastИpssvneutИsingИnomn,-1.3,1.1,-0.1,0.3
PRTFИimpfИintrИpresИactvfemnИsingИgent,-0.7027819284987273,-1.0151294522759395,0.8589556903873333,0.8589556903873333
ADJFИAproneutИsingИloct,1.3339459376998313,-1.0914103126634984,-0.12126781251816648,-0.12126781251816648
ADJFИSuprИQualplurИnomn,1.3055824196677337,-0.7833494518006403,0.26111648393354675,-0.7833494518006403
PRTFИperfИtranИpastИactvmascИsingИnomn,-0.4752931878933584,-0.09505863757867168,-0.8555277382080452,1.4258795636800752
ADJFИSubxИQualmascИsingИablt,0.8488746876271654,-0.6063390625908325,-1.0914103126634984,0.8488746876271654
NOUNИanimИfemnИSgtmИSurnsingИgent,-1.3174650984805198,1.02469507659596,-0.14638501094227999,0.43915503282683993
NOUNИinanИmascИGeoxsingИdatv,-0.6324555320336759,-0.9486832980505138,1.2649110640673518,0.31622776601683794
ADJFИQualfemnИsingИdatv,1.5,-0.5,-0.5,-0.5
PRTFИperfИtranИpastИpssvmascИsingИablt,-0.2886751345948129,-0.8660254037844387,-0.2886751345948129,1.4433756729740645
ADJFИAproplurИloct,-0.3692744729379982,-0.3692744729379982,1.4770978917519928,-0.7385489458759964
NOUNИinanИfemnИSgtmsingИabltИVoy,0.5477225575051661,-1.0954451150103321,1.0954451150103321,-0.5477225575051661
VERBИimpfИintrplurИTHIRDperИfutrИindc,-1.414213562373095,0.7071067811865475,0.7071067811865475,0.0
VERBИimpfИintrИImpeneutИsingИpastИindc,-0.3396831102433787,0.0,-1.0190493307301363,1.3587324409735149
ADJFИSubxИQualneutИsingИnomn,-0.3692744729379982,1.4770978917519928,-0.7385489458759964,-0.3692744729379982
ADJFИApromascИsingИablt,0.0,-1.224744871391589,1.224744871391589,0.0
PRTFИperfИintrИpastИactvfemnИsingИgent,-0.3,-1.1,0.1,1.3
ADJFИAproИSubxneutИsingИgent,1.4657097546055162,-0.7892283294029703,-0.338240712601273,-0.338240712601273
NOUNИinanИmascИGeoxsingИloct,-0.6354889093022426,-0.998625428903524,0.4539206495016018,1.1801936887041646
COMP,0.14638501094227999,-1.02469507659596,-0.43915503282683993,1.3174650984805198
NOUNИinanИmascИSgtmИGeoxsingИloct,-0.8488746876271654,-0.8488746876271654,0.6063390625908325,1.0914103126634984
VERBИimpfИintrsingИTHIRDperИpresИindcИImpx,0.1986798535597566,0.9933992677987828,0.1986798535597566,-1.390758974918296
PRTFИperfИtranИpastИpssvmascИsingИgent,-0.7406128966515283,-0.7406128966515283,0.10580184237878976,1.3754239509242667
ADJFИAproИAnphfemnИsingИabltИVey,-0.6092717958449424,-0.6092717958449424,-0.26111648393354675,1.4796600756234317
ADJFИAproИSubxfemnИsingИnomn,-0.26111648393354675,-0.6092717958449424,1.4796600756234317,-0.6092717958449424
ADJFИPossplurИnomn,-0.3,-1.1,1.3,0.1
VERBИimpfИintrplurИTHIRDperИpresИindcИInfr,-0.7406128966515283,0.10580184237878976,-0.7406128966515283,1.3754239509242667
NPROsingИdatv,-1.2402159462046676,-0.338240712601273,1.014722137803819,0.5637345210021216
VERBИimpfИintrplurИFIRSTperИfutrИindc,-0.6092717958449424,1.4796600756234317,-0.6092717958449424,-0.26111648393354675
ADJFИPossfemnИsingИgent,-0.6603381797442178,-0.6603381797442178,1.4527439954372794,-0.13206763594884358
ADJFИAnummascИsingИablt,-1.0502100630210074,-0.6301260378126045,0.6301260378126045,1.0502100630210074
ADJFИAnumfemnИsingИgent,-1.161895003862225,-0.3872983346207417,1.161895003862225,0.3872983346207417
NOUNИinanИneutИSgtmsingИdatv,-0.2886751345948129,-0.8660254037844387,1.4433756729740645,-0.2886751345948129
ADJFИAproИSubxИAnphplurИdatv,0.3872983346207417,-1.161895003862225,1.161895003862225,-0.3872983346207417
PRTFИimpfИintrИpresИactvfemnИsingИnomn,-0.21004201260420147,-0.6301260378126045,-0.6301260378126045,1.4702940882294102
NOUNИanimИmascИNameplurИnomn,-0.8040844011283462,-0.16081688022566923,-0.4824506406770077,1.4473519220310231
NOUNИinanИmascИSgtmsingИablt,-0.5,-0.5,-0.5,1.5
NOUNИinanИmascИGeoxplurИnomn,0.3872983346207417,-1.161895003862225,1.161895003862225,-0.3872983346207417
ADJFneutИsingИloct,-0.7833494518006403,0.26111648393354675,-0.7833494518006403,1.3055824196677337
ADJFИAproИAnphneutИsingИgent,-0.14638501094227999,-1.3174650984805198,1.02469507659596,0.43915503282683993
PRTFИimpfИtranИpresИactvmascИsingИnomn,-0.9933992677987828,-0.1986798535597566,-0.1986798535597566,1.390758974918296
ADJFИQualneutИsingИdatv,-0.9933992677987828,1.390758974918296,-0.1986798535597566,-0.1986798535597566
ADJFИAproИSubxneutИsingИnomn,1.390758974918296,-0.1986798535597566,-0.1986798535597566,-0.9933992677987828
PRTSИimpfИpastИpssvmascИsing,-0.5637345210021216,1.2402159462046676,-1.014722137803819,0.338240712601273
PRTFИimpfИtranИpastИactvmascИsingИnomn,-1.3055824196677337,-0.26111648393354675,0.7833494518006403,0.7833494518006403
PRTFИimpfИtranИpresИactvmascИsingИablt,0.338240712601273,-0.5637345210021216,-1.014722137803819,1.2402159462046676
ADJFИAproИAnphplurИablt,-0.7071067811865475,0.0,1.414213562373095,-0.7071067811865475
NOUNИinanИneutplurИabltИVbe,-0.8164965809277261,-0.8164965809277261,0.4082482904638631,1.2247448713915892
NOUNИinanИGNdrИPltmplurИdatv,-0.8660254037844387,-0.8660254037844387,0.8660254037844387,0.8660254037844387
NOUNИanimИfemnИMsfsingИablt,0.0,-1.224744871391589,1.224744871391589,0.0
ADJFИPossfemnИsingИnomn,-1.224744871391589,0.0,1.224744871391589,0.0
NUMRdatv,-1.224744871391589,0.0,0.0,1.224744871391589
ADJFИAproИSubxИAnphplurИablt,-0.4629100498862757,-0.9258200997725514,0.0,1.3887301496588271
NOUNИanimИmascИSgtmИSurnsingИloct,0.0,-0.4629100498862757,-0.9258200997725514,1.3887301496588271
NOUNИinanИfemnИSgtmИGeoxsingИloct,0.0,0.0,-1.224744871391589,1.224744871391589
NOUNИanimИneutsingИloct,0.0,-0.7071067811865475,-0.7071067811865475,1.414213562373095
NOUNИanimИfemnИMsfsingИdatv,-0.7071067811865475,0.0,1.414213562373095,-0.7071067811865475
PRTFИimpfИtranИpresИactvplurИnomn,-0.5,1.5,-0.5,-0.5
PRTFИimpfИtranИpresИactvfemnИsingИgent,-1.0954451150103321,-0.5477225575051661,0.5477225575051661,1.0954451150103321
NOUNИanimИfemnИMsfsingИaccs,0.0,-1.224744871391589,0.0,1.224744871391589
ADJFИSuprИQualfemnИsingИnomn,-1.224744871391589,0.0,1.224744871391589,0.0
PRTFИperfИintrИpastИactvmascИsingИablt,-0.43915503282683993,-1.02469507659596,0.14638501094227999,1.3174650984805198
PRTFИimpfИtranИpastИactvplurИnomn,-0.7833494518006403,0.26111648393354675,1.3055824196677337,-0.7833494518006403
NOUNИinanИneutИSgtmsingИaccs,0.10580184237878976,-0.7406128966515283,1.3754239509242667,-0.7406128966515283
PRTFИimpfИtranИpresИactvplurИgent,-0.338240712601273,-0.338240712601273,-0.7892283294029703,1.4657097546055162
NPROИfemnИTHIRDperИAnphsingИgentИAfp,1.0914103126634984,0.6063390625908325,-0.8488746876271654,-0.8488746876271654
NUMRИCollanimИaccs,-0.5,-0.5,-0.5,1.5
NUMRablt,0.14638501094227999,-0.43915503282683993,-1.02469507659596,1.3174650984805198
PRTFИperfИtranИpastИpssvmascИsingИloct,-1.02469507659596,-0.43915503282683993,0.14638501094227999,1.3174650984805198
VERBИimpfИtransingИTHIRDperИpresИindcИArch,1.3174650984805198,-1.02469507659596,0.14638501094227999,-0.43915503282683993
ADJFfemnИsingИablt,0.10580184237878976,-0.7406128966515283,1.3754239509242667,-0.7406128966515283
NOUNИanimИGNdrИPltmplurИnomn,0.1986798535597566,0.9933992677987828,0.1986798535597566,-1.390758974918296
ADJFplurИloct,0.26111648393354675,-0.7833494518006403,-0.7833494518006403,1.3055824196677337
ADJFИPossmascИsingИgent,-0.7833494518006403,-0.7833494518006403,0.26111648393354675,1.3055824196677337
NOUNИanimИneutplurИgent,-1.390758974918296,0.9933992677987828,0.1986798535597566,0.1986798535597566
NOUNИanimИmascИNameplurИgent,-1.02469507659596,-0.43915503282683993,1.3174650984805198,0.14638501094227999
ADJFИAproИSubxИAnphneutИsingИnomn,-0.7833494518006403,-0.7833494518006403,0.26111648393354675,1.3055824196677337
ADJFИAproИAnphfemnИsingИnomn,-0.338240712601273,-0.338240712601273,1.4657097546055162,-0.7892283294029703
NOUNИinanИfemnИFixdИGeoxsingИnomn,-1.1666666666666667,-0.5,0.8333333333333334,0.8333333333333334
NOUNИanimИmascИNamesingИvoctИInfr,-1.1666666666666667,-0.5,0.8333333333333334,0.8333333333333334
NOUNИinanИGNdrИPltmplurИablt,1.161895003862225,-1.161895003862225,-0.3872983346207417,0.3872983346207417
NOUNИanimИmascИSgtmsingИvoct,-0.21004201260420147,-0.6301260378126045,1.4702940882294102,-0.6301260378126045
ADJFИSuprИQualneutИsingИgent,0.5,-1.5,0.5,0.5
ADJFИSubxИQualmascИsingИdatv,0.5,0.5,0.5,-1.5
ADJFИSubxИQualfemnИsingИablt,-0.5,-0.5,1.5,-0.5
NPROsingИaccs,0.8660254037844387,-0.8660254037844387,0.8660254037844387,-0.8660254037844387
NPROsingИgent,-0.3872983346207417,-1.161895003862225,0.3872983346207417,1.161895003862225
NPROИfemnИTHIRDperИAnphsingИabltИVey,-0.3872983346207417,0.3872983346207417,-1.161895003862225,1.161895003862225
NOUNИANimИneutsingИnomnИVbe,1.4433756729740645,-0.2886751345948129,-0.2886751345948129,-0.8660254037844387
NPROИTHIRDperИAnphplurИablt,-1.161895003862225,1.161895003862225,-0.3872983346207417,0.3872983346207417
VERBИperfИintrИImpeneutИsingИpastИindc,0.5,-1.5,0.5,0.5
NOUNИanimИfemnsingИabltИVey,-1.161895003862225,1.161895003862225,0.3872983346207417,-0.3872983346207417
ADJFИQualneutИsingИaccs,0.3872983346207417,1.161895003862225,-0.3872983346207417,-1.161895003862225
NOUNИanimИfemnИMsfplurИdatv,-0.8660254037844387,0.8660254037844387,0.8660254037844387,-0.8660254037844387
PRTFИimpfИintrИpresИactvmascИsingИablt,-0.8660254037844387,0.8660254037844387,0.8660254037844387,-0.8660254037844387
ADJFinanИplurИaccs,-1.5,0.5,0.5,0.5
PRTFИperfИintrИpastИactvmascИsingИgent,-0.7833494518006403,-0.7833494518006403,0.26111648393354675,1.3055824196677337
PRTFИimpfИintrИpresИactvplurИablt,0.8660254037844387,0.8660254037844387,-0.8660254037844387,-0.8660254037844387
PRTSИperfИpastИpssvmascИsingИInfr,-0.3872983346207417,-1.161895003862225,0.3872983346207417,1.161895003862225
ADJFИAproИSubxИAnphmascИsingИloct,-0.8660254037844387,0.8660254037844387,-0.8660254037844387,0.8660254037844387
PRTFИperfИtranИpastИpssvИAdjxplurИgent,-0.3872983346207417,-1.161895003862225,1.161895003862225,0.3872983346207417
ADJFИAprofemnИsingИabltИVey,-0.2886751345948129,-0.2886751345948129,1.4433756729740645,-0.8660254037844387
NOUNИanimИfemnplurИloct,-1.3055824196677337,-0.26111648393354675,0.7833494518006403,0.7833494518006403
NOUNИanimИGNdrИPltmplurИaccs,-1.3055824196677337,-0.26111648393354675,0.7833494518006403,0.7833494518006403
PRTFИperfИintrИpastИactvfemnИsingИnomn,-0.8333333333333334,-0.8333333333333334,0.5,1.1666666666666667
NPROИfemnsingИgent,-0.1986798535597566,-0.9933992677987828,1.390758974918296,-0.1986798535597566
PRTFИperfИintrИpastИactvfemnИsingИaccs,-1.3055824196677337,-0.26111648393354675,0.7833494518006403,0.7833494518006403
ADJFИAnumneutИsingИnomn,-0.6603381797442178,1.4527439954372794,-0.13206763594884358,-0.6603381797442178
ADJFИPossneutИsingИnomn,-0.8333333333333334,-0.8333333333333334,1.1666666666666667,0.5
NPROИmascsingИgent,-0.26111648393354675,-1.3055824196677337,0.7833494518006403,0.7833494518006403
ADJFИPossplurИgent,-0.6603381797442178,-0.6603381797442178,-0.13206763594884358,1.4527439954372794
PRTFИimpfИintrИpresИactvИAdjxplurИgent,-0.8333333333333334,0.5,1.1666666666666667,-0.8333333333333334
ADJFИSuprИQualfemnИsingИaccs,-0.1986798535597566,-0.1986798535597566,-0.9933992677987828,1.390758974918296
VERBИperfИintrИImpesingИfutrИindc,-0.5,-0.5,-0.5,1.5
ADJFИSubxИQualplurИdatv,-0.1986798535597566,-0.9933992677987828,1.390758974918296,-0.1986798535597566
ADJFИSubxИQualfemnИsingИgent,0.5,-0.8333333333333334,1.1666666666666667,-0.8333333333333334
ADJFИPossmascИsingИdatv,-0.5,-0.5,1.5,-0.5
PRTFИperfИtranИpastИpssvИAdjxfemnИsingИnomn,-1.3055824196677337,0.7833494518006403,0.7833494518006403,-0.26111648393354675
ADJFИAproИSubxfemnИsingИaccs,-0.5,1.5,-0.5,-0.5
NOUNИinanИneutplurИgentИArchИLitr,-0.1986798535597566,-0.1986798535597566,1.390758974918296,-0.9933992677987828
NPROsingИablt,-0.26111648393354675,-1.3055824196677337,0.7833494518006403,0.7833494518006403
NOUNИinanИmascИSgtmИGeoxsingИdatv,1.1666666666666667,-0.8333333333333334,0.5,-0.8333333333333334
NOUNИinanИneutИGeoxplurИgent,0.5,1.1666666666666667,-0.8333333333333334,-0.8333333333333334
NOUNИinanИfemnplurИnomn,-0.5,-0.5,-0.5,1.5
NOUNИanimИmascИNameplurИdatv,-0.1986798535597566,-0.9933992677987828,-0.1986798535597566,1.390758974918296
NOUNИinanИmascplurИnomnИInfr,1.1666666666666667,-0.8333333333333334,0.5,-0.8333333333333334
NOUNИinanИGNdrИPltmplurИaccs,-0.1986798535597566,-0.9933992677987828,1.390758974918296,-0.1986798535597566
NOUNИinanИneutИGeoxsingИablt,-0.5,1.5,-0.5,-0.5
PRTFИimpfИintrИpastИactvmascИsingИnomn,-0.7071067811865475,0.0,-0.7071067811865475,1.414213562373095
ADJFИSubxmascИsingИablt,-0.7071067811865475,-0.7071067811865475,1.414213562373095,0.0
PRTFИimpfИintrИpastИactvplurИgent,-0.7071067811865475,0.0,1.414213562373095,-0.7071067811865475
ADJFИSubxИQualfemnИsingИaccs,1.224744871391589,0.0,-1.224744871391589,0.0
ADJFИSubxИQualfemnИsingИdatv,1.224744871391589,-1.224744871391589,0.0,0.0
ADJFИSuprИQualmascИsingИablt,0.0,0.0,0.0,0.0
ADJFИSuprИQualplurИdatv,-0.7071067811865475,1.414213562373095,-0.7071067811865475,0.0
PRTFИSubxИperfИtranИpastИpssvИAdjxfemnИsingИgent,0.0,-1.224744871391589,1.224744871391589,0.0
NOUNИinanИneutИGeoxsingИnomn,0.0,1.414213562373095,-0.7071067811865475,-0.7071067811865475
NOUNИinanИGNdrИPltmИGeoxplurИnomn,0.0,0.0,-1.224744871391589,1.224744871391589
PRTFИimpfИintrИpresИactvmascИsingИgent,-0.7071067811865475,0.0,1.414213562373095,-0.7071067811865475
ADJSИQualmascИsingИVen,0.0,-1.224744871391589,1.224744871391589,0.0
VERBИimpfИtranplurИTHIRDperИpresИindcИInfr,-0.8660254037844387,0.8660254037844387,-0.8660254037844387,0.8660254037844387
PRTFИimpfИintrИpresИactvИAdjxplurИnomn,1.224744871391589,-1.224744871391589,0.0,0.0
PRTFИimpfИtranИpastИactvfemnИsingИgent,0.0,1.224744871391589,-1.224744871391589,0.0
VERBИperfИtranplurИimprИincl,-0.7071067811865475,-0.7071067811865475,0.0,1.414213562373095
ADJFИAproИSubxmascИsingИdatv,1.414213562373095,-0.7071067811865475,0.0,-0.7071067811865475
PRTFИperfИtranИpastИpssvИAdjxplurИnomn,0.0,0.0,0.0,0.0
NOUNИinanИmascИSgtmИGeoxsingИablt,0.0,-1.224744871391589,1.224744871391589,0.0
ADJFИAnuminanИmascИsingИaccs,0.0,-0.7071067811865475,-0.7071067811865475,1.414213562373095
PRTFИperfИtranИpastИpssvfemnИsingИaccs,-1.224744871391589,0.0,0.0,1.224744871391589
ADJFfemnИsingИabltИVey,-0.7071067811865475,-0.7071067811865475,0.0,1.414213562373095
